datetime,value
2016-11-10,1541730598.2
2016-11-11,555451922.6
2016-11-14,1038972349.8
2016-11-15,788916061.2
2016-11-16,957580114.3
2016-11-17,446126503.3
2016-11-18,243378102.8
2016-11-21,675806469.5
2016-11-22,2116117610.9
2016-11-23,335638661.2
2016-11-24,1083774656.6
2016-11-25,277832791.0
2016-11-28,529279578.3
2016-11-29,373995519.9
2016-11-30,1766332670.8
2016-12-01,1780838283.5
2016-12-02,1825307850.8
2016-12-05,652654133.3
2016-12-06,2529076429.4
2016-12-07,533471510.3
2016-12-08,2819323748.1
2016-12-09,4892226648.5
2016-12-12,3474741358.9
2016-12-13,1830330242.7
2016-12-14,1611672035.6
2016-12-15,2639280195.4
2016-12-16,2874950308.7
2016-12-19,1376065884.8
2016-12-20,711760217.5
2016-12-21,784085701.0
2016-12-22,632806854.9
2016-12-23,770146886.0
2016-12-26,285347705.5
2016-12-27,526287344.9
2016-12-28,920355051.7
2016-12-29,2230780801.4
2016-12-30,4129094237.0
2017-01-03,1328460858.9
2017-01-04,989066202.3
2017-01-05,1033031700.0
2017-01-06,826832813.2
2017-01-09,585376820.3
2017-01-10,1270091258.9
2017-01-11,1265476777.0
2017-01-12,797312142.2
2017-01-13,1142549012.4
2017-01-16,553565090.4
2017-01-17,426844941.1
2017-01-18,1534403350.0
2017-01-19,850407369.2
2017-01-20,554127071.1
2017-01-23,484879893.8
2017-01-24,885402636.0
2017-01-25,834344195.4
2017-01-26,1983822349.1
2017-01-27,1956321027.7
2017-01-30,1047184160.4
2017-01-31,685541404.0
2017-02-01,470739069.3
2017-02-02,502595030.8
2017-02-03,535748268.2
2017-02-06,457877549.8
2017-02-07,286943406.2
2017-02-08,363436674.9
2017-02-09,399989848.1
2017-02-10,252421305.3
2017-02-13,649336053.3
2017-02-14,474052345.3
2017-02-15,621583378.8
2017-02-16,293588637.8
2017-02-17,766134039.4
2017-02-20,290184455.2
2017-02-21,310052026.4
2017-02-22,474064705.8
2017-02-24,249223740.4
2017-02-27,1048942280.4
2017-02-28,850240533.0
2017-03-01,600992953.7
2017-03-02,732059495.4
2017-03-03,1053690239.2
2017-03-06,539933123.2
2017-03-07,1208500783.0
2017-03-09,3231987060.0
2017-03-10,1656786498.6
2017-03-13,615076114.5
2017-03-14,505559335.2
2017-03-15,415846561.3
2017-03-16,1114855231.5
2017-03-17,851326849.8
2017-03-20,976838299.5
2017-03-21,585296743.3
2017-03-22,550160235.0
2017-03-23,313483727.3
2017-03-24,419507502.0
2017-03-27,502666629.8
2017-03-28,403066615.8
